,date,qid,pageviews,date_object,wave
254,2024-01-05,Q50020,342,2024-01-05,
255,2024-01-06,Q50020,288,2024-01-06,
256,2024-01-07,Q50020,326,2024-01-07,
257,2024-01-01,Q211519,107,2024-01-01,
258,2024-01-02,Q211519,119,2024-01-02,
259,2024-01-04,Q211519,112,2024-01-04,
260,2024-01-05,Q211519,235,2024-01-05,
261,2024-01-06,Q211519,123,2024-01-06,
262,2024-01-07,Q211519,94,2024-01-07,
265,2024-01-01,Q3816,279,2024-01-01,
266,2024-01-02,Q3816,319,2024-01-02,
267,2024-01-03,Q3816,294,2024-01-03,
268,2024-01-04,Q3816,275,2024-01-04,
269,2024-01-05,Q3816,285,2024-01-05,
270,2024-01-06,Q3816,275,2024-01-06,
271,2024-01-07,Q3816,357,2024-01-07,
275,2024-01-01,Q465335,99,2024-01-01,
276,2024-01-02,Q465335,143,2024-01-02,
277,2024-01-03,Q465335,251,2024-01-03,
278,2024-01-04,Q465335,280,2024-01-04,
279,2024-01-05,Q465335,291,2024-01-05,
280,2024-01-06,Q465335,169,2024-01-06,
281,2024-01-07,Q465335,240,2024-01-07,
282,2024-01-01,Q452281,147,2024-01-01,
283,2024-01-02,Q452281,230,2024-01-02,
291,2024-01-01,Q102870,2576,2024-01-01,First-wave
292,2024-01-02,Q102870,2395,2024-01-02,First-wave
293,2024-01-03,Q102870,2536,2024-01-03,First-wave
294,2024-01-04,Q102870,3717,2024-01-04,First-wave
295,2024-01-05,Q102870,4841,2024-01-05,First-wave
296,2024-01-06,Q102870,3430,2024-01-06,First-wave
297,2024-01-07,Q102870,4337,2024-01-07,First-wave
298,2024-01-01,Q73646,138,2024-01-01,
299,2024-01-02,Q73646,134,2024-01-02,
300,2024-01-03,Q73646,115,2024-01-03,
301,2024-01-04,Q73646,324,2024-01-04,
302,2024-01-05,Q73646,171,2024-01-05,
303,2024-01-06,Q73646,133,2024-01-06,
304,2024-01-07,Q73646,127,2024-01-07,
306,2024-01-01,Q260378,142,2024-01-01,First-wave
307,2024-01-02,Q260378,112,2024-01-02,First-wave
308,2024-01-03,Q260378,152,2024-01-03,First-wave
309,2024-01-04,Q260378,166,2024-01-04,First-wave
310,2024-01-05,Q260378,132,2024-01-05,First-wave
311,2024-01-06,Q260378,115,2024-01-06,First-wave
312,2024-01-07,Q260378,144,2024-01-07,First-wave
313,2024-01-01,Q215562,1392,2024-01-01,
314,2024-01-02,Q215562,1485,2024-01-02,
315,2024-01-03,Q215562,1600,2024-01-03,
316,2024-01-04,Q215562,1734,2024-01-04,
317,2024-01-05,Q215562,1746,2024-01-05,
318,2024-01-06,Q215562,1307,2024-01-06,
319,2024-01-07,Q215562,1385,2024-01-07,
320,2024-01-01,Q464724,146,2024-01-01,Second-wave
321,2024-01-02,Q464724,120,2024-01-02,Second-wave
322,2024-01-03,Q464724,174,2024-01-03,Second-wave
323,2024-01-04,Q464724,192,2024-01-04,Second-wave
324,2024-01-05,Q464724,175,2024-01-05,Second-wave
325,2024-01-06,Q464724,174,2024-01-06,Second-wave
326,2024-01-07,Q464724,180,2024-01-07,Second-wave
327,2024-01-01,Q174438,610,2024-01-01,
